Outcome 1 Result 1a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX3 7.0,5210,57,0.010940499040307103
2,Unnamed,5210,36,0.00690978886756238
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
0.004030710172744723,0.0004198279832871516,0.007641592362202294,2.1873817856961826,0.02871466471628924
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
1.5833333333333335,1.0450253823225595,2.3989316306105253
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
1.5897858852448412,1.0455656880718929,2.4172743900811122
