Outcome 8 Result 8a Measures of Association Table
" "
Generated by TriNetX
" "
" "
Cohort Statistics
Cohort,Cohort Name,Patients in Cohort,Patients with Outcome,Risk
1,CX2 7.0,11100,38,0.0034234234234234236
2,Unnamed,11100,40,0.0036036036036036037
" "
" "
Risk Difference
Risk Difference,95 % CI Lower,95 % CI Upper,z,p
-0.00018018018018018007,-0.0017369184333384967,0.0013765580729781365,-0.22685428530194468,0.8205370503378921
" "
" "
Risk Ratio
Risk Ratio,95 % CI Lower,95 % CI Upper
0.9500000000000001,0.6098686323615288,1.4798268874812375
" "
" "
Odds Ratio
Odds Ratio,95 % CI Lower,95 % CI Upper
0.9498282408244441,0.6088068428443837,1.4818717918028748
