Baseline Patient Characteristics
" "
Generated by TriNetX
" "
Notes
139 patients in Cohort 1 and 2332271 patients in Cohort 2 were excluded because they met the index event more than 20 years ago.
" "
" "
Baseline Patient Characteristics
Characteristic ID,Characteristic Name,Category,Cohort 1 Before: Patient Count,Cohort 1 Before: % of Cohort,Cohort 1 Before: Mean,Cohort 1 Before: SD,Cohort 1 Before: Min,Cohort 1 Before: Max,Cohort 2 Before: Patient Count,Cohort 2 Before: % of Cohort,Cohort 2 Before: Mean,Cohort 2 Before: SD,Cohort 2 Before: Min,Cohort 2 Before: Max,Before: p-Value,Before: Standardized Mean Difference,Cohort 1 After: Patient Count,Cohort 1 After: % of Cohort,Cohort 1 After: Mean,Cohort 1 After: SD,Cohort 1 After: Min,Cohort 1 After: Max,Cohort 2 After: Patient Count,Cohort 2 After: % of Cohort,Cohort 2 After: Mean,Cohort 2 After: SD,Cohort 2 After: Min,Cohort 2 After: Max,After: p-Value,After: Standardized Mean Difference
AI,Age at Index,,11100,100%,14.481531,2.2543712,1,17,4164666,100%,5.5101595,5.6751995,0,17,0,2.077673,11100,100%,14.481531,2.2543712,1,17,11100,100%,14.480991,2.255685,1,17,0.98575264,0.00023970456
Age,Current Age,,11100,100%,23.254053,3.3596284,18,37,4164666,100%,20.420311,6.4186525,9,37,0,0.5531629,11100,100%,23.254053,3.3596284,18,37,11100,100%,29.547749,3.5422323,13,37,0,1.8231293
2106-3,White,,8112,73.081%,,,,,2318166,55.663%,,,,,0,0.3698844,8112,73.081%,,,,,8113,73.09%,,,,,0.98792636,0.00020312748
2186-5,Not Hispanic or Latino,,8088,72.865%,,,,,2440329,58.596%,,,,,0,0.3040983,8088,72.865%,,,,,8089,72.874%,,,,,0.9879567,0.00020261639
F,Female,,5445,49.054%,,,,,2123988,51%,,,,,0.000042009284,0.038930304,5445,49.054%,,,,,5444,49.045%,,,,,0.9892883,0.00018021274
M,Male,,5400,48.649%,,,,,1969997,47.303%,,,,,0.004560212,0.026944691,5400,48.649%,,,,,5515,49.685%,,,,,0.12261901,0.020724712
UN,Unknown Ethnicity,,2166,19.514%,,,,,1045521,25.105%,,,,,6.089e-42,0.1346011,2166,19.514%,,,,,2165,19.505%,,,,,0.98648703,0.0002273452
2054-5,Black or African American,,1166,10.505%,,,,,714298,17.151%,,,,,0,0.1934542,1166,10.505%,,,,,1165,10.495%,,,,,0.9825328,0.00029388056
UNK,Unknown Race,,987,8.892%,,,,,633707,15.216%,,,,,0,0.19516465,987,8.892%,,,,,987,8.892%,,,,,1,0
2135-2,Hispanic or Latino,,846,7.622%,,,,,678816,16.299%,,,,,0,0.269844,846,7.622%,,,,,846,7.622%,,,,,1,0
2131-1,Other Race,,424,3.82%,,,,,280692,6.74%,,,,,1.4651298e-34,0.13085271,424,3.82%,,,,,424,3.82%,,,,,1,0
2028-9,Asian,,299,2.694%,,,,,166318,3.994%,,,,,2.7959436e-12,0.072352804,299,2.694%,,,,,299,2.694%,,,,,1,0
1002-5,American Indian or Alaska Native,,30,0.27%,,,,,21077,0.506%,,,,,0.00046733473,0.037930425,30,0.27%,,,,,30,0.27%,,,,,1,0
F30-F39,Mood [affective] disorders,,112,1.009%,,,,,13169,0.316%,,,,,2.474286e-38,0.085471235,112,1.009%,,,,,138,1.243%,,,,,0.09818396,0.022199482
F10-F19,Mental and behavioral disorders due to psychoactive substance use,,35,0.315%,,,,,4229,0.102%,,,,,1.8913185e-12,0.04688567,35,0.315%,,,,,59,0.532%,,,,,0.013113629,0.03330293
Z81,Family history of mental and behavioral disorders,,10,0.09%,,,,,991,0.024%,,,,,0.0000066145108,0.027792329,10,0.09%,,,,,10,0.09%,,,,,1,0
