Follow-Up Time Metrics Before Matching Results Graph
" "
Generated by TriNetX
" "
" "
Before Matching Graph Data Table
Cohort,Cohort Name
1,CX1 7.0
2,Unnamed
" "
Time (Days),Cohort1: Patients,Cohort2: Patients
0,0,1189694
10,1,93203
20,0,81379
30,0,56729
40,2,56625
50,2,34491
60,5,44432
70,3,29011
80,4,35642
90,3,29918
100,5,33462
110,5,24408
120,3,29742
130,4,24233
140,4,25354
150,5,23755
160,7,24983
170,5,20595
180,10,30518
190,6,22336
200,9,26722
210,12,21559
220,7,25963
230,14,18825
240,14,24851
250,8,20060
260,14,21920
270,10,20460
280,18,22418
290,14,18182
300,18,22252
310,11,17035
320,14,21106
330,13,17699
340,18,22384
350,15,17324
360,27663,4051375
